S.No.,State/UT,year,Road_Accidents_January,Road_Accidents_February,Road_Accidents_March,Road_Accidents_April,Road_Accidents_May,Road_Accidents_June,Road_Accidents_July,Road_Accidents_August,Road_Accidents_September,Road_Accidents_October,Road_Accidents_November,Road_Accidents_December,Road_Accidents_Total,Category
200,ODISHA,2020,1056,956,801,265,583,757,725,736,844,934,971,1189,9817,State
201,PUDUCHERRY,2020,132,133,98,17,35,63,66,65,92,86,86,96,969,UT
202,PUNJAB,2020,491,507,415,146,318,357,437,401,443,554,599,505,5173,State
203,RAJASTHAN,2020,1945,2044,1646,369,941,1468,1667,1621,1671,1853,1982,1914,19121,State
204,SIKKIM,2020,17,12,11,1,7,5,6,6,4,14,12,13,108,State
205,TAMIL NADU,2020,4675,4407,3790,688,2373,2985,3323,4275,4577,4799,4828,4764,45484,State
206,TELANGANA,2020,2005,2078,1595,454,1279,1349,1418,1461,1535,1694,2030,2274,19172,State
207,TRIPURA,2020,58,56,50,8,24,35,28,30,39,40,40,58,466,State
208,UTTAR PRADESH,2020,3028,2938,2260,1039,1680,2092,2143,2366,2332,2612,3027,3136,28653,State
209,UTTARAKHAND,2020,118,108,88,12,49,65,74,79,105,109,108,135,1050,State
210,WEST BENGAL,2020,1214,1155,1028,257,408,740,830,844,952,1147,1152,1116,10843,State
211,ANDAMAN AND NICOBAR ISLANDS,2021,14,9,13,11,6,3,13,10,10,3,11,14,117,UT
212,ANDHRA PRADESH,2021,2120,1845,1906,1703,1233,1594,1792,1968,1815,1924,1649,2007,21556,State
213,ARUNACHAL PRADESH,2021,24,29,19,24,14,15,14,20,25,27,19,31,261,State
214,ASSAM,2021,687,757,709,648,488,393,426,520,526,605,665,645,7069,State
215,BIHAR,2021,848,888,839,835,795,811,724,689,732,752,817,823,9553,State
216,CHANDIGARH,2021,20,16,23,15,11,13,19,18,19,16,15,23,208,UT
217,CHHATTISGARH,2021,1493,1319,1246,589,523,929,1052,1090,1005,1057,1068,1024,12395,State
218,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,2021,14,15,16,7,7,6,9,9,16,11,7,23,140,UT
